                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    114,                 1.4141,                0.74397,                0.86462,                0.90501,                0.86316,                0.91122,                0.46812,                 1.6447,                0.76194,                0.92995,              0.0006304,              0.0006304,              0.0006304
                    115,                 1.4487,                0.75822,                0.86117,                 0.9323,                0.86301,                0.90253,                0.46059,                 1.6275,                0.74972,                0.92745,              0.0006271,              0.0006271,              0.0006271
                    116,                 1.4238,                 0.7429,                0.86115,                0.91236,                0.83854,                0.89638,                0.45471,                 1.6613,                0.76679,                0.92958,              0.0006238,              0.0006238,              0.0006238
                    117,                 1.4138,                0.73585,                0.85726,                0.93848,                 0.7969,                0.87975,                 0.4395,                 1.7226,                0.82268,                0.93443,              0.0006205,              0.0006205,              0.0006205
                    118,                 1.3943,                0.73368,                0.85919,                0.94692,                0.80711,                 0.8823,                  0.447,                 1.6985,                0.80423,                0.93095,              0.0006172,              0.0006172,              0.0006172
                    119,                 1.4246,                0.75578,                0.86198,                0.95834,                0.83372,                0.90579,                0.46698,                 1.6558,                0.77516,                0.92855,              0.0006139,              0.0006139,              0.0006139
                    120,                 1.3877,                 0.7305,                0.85566,                0.93223,                0.83606,                0.90565,                 0.4564,                 1.6584,                0.75794,                0.93808,              0.0006106,              0.0006106,              0.0006106
                    121,                 1.3882,                 0.7266,                 0.8609,                0.95225,                0.85401,                0.90606,                0.46461,                 1.6812,                0.74531,                0.94009,              0.0006073,              0.0006073,              0.0006073
                    122,                 1.4018,                0.72001,                0.85963,                0.95051,                0.85567,                0.89901,                0.44686,                  1.698,                0.75794,                0.94586,               0.000604,               0.000604,               0.000604
                    123,                 1.4238,                0.72836,                0.86243,                0.95173,                0.84255,                0.88158,                0.44388,                 1.6878,                0.78418,                0.93863,              0.0006007,              0.0006007,              0.0006007
                    124,                 1.3959,                 0.7114,                0.86708,                0.94607,                0.82088,                0.87042,                0.44222,                 1.6697,                0.77415,                0.93403,              0.0005974,              0.0005974,              0.0005974
                    125,                 1.4079,                0.73805,                0.85801,                0.95647,                0.83948,                0.88947,                0.45375,                 1.6516,                0.75009,                0.93137,              0.0005941,              0.0005941,              0.0005941
                    126,                 1.3949,                 0.7259,                0.86321,                0.89693,                0.85093,                0.90621,                  0.451,                 1.6652,                0.74282,                0.93919,              0.0005908,              0.0005908,              0.0005908
